City_ID,City,Lat,Lng,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Datetime
83,Tuktoyaktuk,69.45,-133.04,39.2,93,90,8.05,CA,1592577768
84,San Patricio,19.22,-104.7,80.6,78,75,4.29,MX,1592577768
85,Butaritari,3.07,172.79,81.75,73,69,4.59,KI,1592577769
86,Bull Savanna,17.89,-77.59,83.88,63,33,11.27,JM,1592577769
87,Matara,5.95,80.54,81.55,82,86,10.49,LK,1592577770
88,Saint-Philippe,-21.36,55.77,71.6,64,98,24.16,RE,1592577770
89,Santa Maria,-29.68,-53.81,73.31,79,93,5.68,BR,1592577732
90,Atuona,-9.8,-139.03,79.95,76,62,15.88,PF,1592577771
91,Biak,-0.91,122.88,77.25,83,55,7.58,ID,1592577772
92,Rocha,-34.48,-54.33,61.14,60,22,7.67,UY,1592577772
93,Hasaki,35.73,140.83,64.4,100,75,13.87,JP,1592577773
94,Pedasí,7.53,-80.03,82.63,73,98,3.15,PA,1592577773
95,Port Alfred,-33.59,26.89,68.0,74,0,8.01,ZA,1592577773
96,George Town,5.41,100.34,80.6,88,20,2.1,MY,1592577774
97,Saldanha,-33.01,17.94,77.0,29,0,12.75,ZA,1592577774
98,Kruisfontein,-34.0,24.73,68.13,32,0,10.25,ZA,1592577774
99,Artyom,40.47,50.33,86.0,37,0,11.41,AZ,1592577774
100,Tiksi,71.69,128.87,55.4,67,0,6.26,RU,1592577775
101,Longyearbyen,78.22,15.64,41.0,75,40,16.11,SJ,1592577775
102,Hofn,64.25,-15.21,55.4,66,40,11.41,IS,1592577775
103,Yining,29.04,114.56,72.32,90,85,1.83,CN,1592577775
104,Baruun-Urt,46.68,113.28,67.28,58,100,4.63,MN,1592577775
105,Butembo,0.15,29.28,63.97,100,34,1.39,CD,1592577776
106,Caohai,26.87,104.28,62.2,97,85,6.02,CN,1592577776
107,Hithadhoo,-0.6,73.08,84.96,70,94,1.99,MV,1592577776
108,Emba,48.83,58.14,74.05,27,0,13.82,KZ,1592577776
109,Paragominas,-2.97,-47.48,86.5,52,82,5.53,BR,1592577777
110,Rāmtek,21.4,79.33,87.8,66,40,4.32,IN,1592577777
111,Pāsighāt,28.07,95.33,80.28,79,31,3.51,IN,1592577777
112,Kumul,42.8,93.45,88.9,16,99,3.13,CN,1592577543
113,Ibrā’,22.69,58.53,96.22,31,32,15.14,OM,1592577778
114,Fortuna,40.6,-124.16,55.99,93,90,3.36,US,1592577778
115,Talnakh,69.49,88.4,48.2,76,40,17.9,RU,1592577778
116,Sinnamary,5.38,-52.95,82.67,77,46,8.19,GF,1592577779
117,Mount Gambier,-37.83,140.77,50.0,93,90,11.41,AU,1592577779
118,Dakar,14.69,-17.44,84.2,74,96,16.11,SN,1592577779
119,Praia,14.92,-23.51,84.2,58,20,20.8,CV,1592577780
120,Limbang,4.75,115.0,82.4,83,75,4.7,MY,1592577780
121,Okitipupa,6.5,4.78,85.89,62,83,7.23,NG,1592577780
122,Calama,-22.47,-68.93,59.0,8,0,20.8,CL,1592577781
123,Luwuk,-0.95,122.79,77.65,80,61,5.79,ID,1592577781
124,Faya,18.39,42.45,80.6,44,40,11.41,SA,1592577781
125,Naryan-Mar,67.67,53.09,43.97,70,100,15.79,RU,1592577782
126,Asău,46.43,26.4,73.99,63,31,2.64,RO,1592577782
127,Nuuk,64.18,-51.72,35.6,100,90,16.11,GL,1592577782
128,Tairua,-37.02,175.85,55.99,91,5,5.32,NZ,1592577783
129,Port Moresby,-9.44,147.18,78.8,88,40,17.22,PG,1592577783
130,Gonbad-e Kāvūs,37.25,55.17,96.8,37,0,4.7,IR,1592577763
131,Gamba,-2.65,10.0,76.5,78,83,8.3,GA,1592577783
132,Kabare,-2.47,28.82,69.8,68,53,4.21,CD,1592577784
133,Makassar,-5.14,119.42,80.6,88,20,1.12,ID,1592577532
134,Cherskiy,68.75,161.3,68.22,44,72,2.55,RU,1592577784
135,Hong Kong,22.29,114.16,84.0,79,90,5.99,HK,1592577568
136,Torbay,47.67,-52.73,63.0,87,90,11.41,CA,1592577785
137,Nova Prata,-28.78,-51.61,75.0,56,99,6.46,BR,1592577549
138,Korla,41.76,86.15,84.0,48,34,18.28,CN,1592577785
139,Lorengau,-2.02,147.27,82.17,74,8,4.18,PG,1592577786
140,Grindavik,63.84,-22.43,55.4,66,75,5.82,IS,1592577786
141,Chicama,-7.84,-79.15,71.78,58,1,8.37,PE,1592577786
142,Ostrovnoy,68.05,39.51,43.2,73,100,24.92,RU,1592577787
143,Kattivākkam,13.22,80.32,91.4,63,40,13.87,IN,1592577787
144,Iqaluit,63.75,-68.51,39.2,80,90,10.29,CA,1592577787
145,Kaseda-shirakame,31.42,130.32,72.99,81,87,5.95,JP,1592577787
146,Kalmunai,7.42,81.82,84.92,74,99,4.99,LK,1592577787
147,Tasiilaq,65.61,-37.64,39.2,93,75,14.99,GL,1592577788
148,Thessalon,46.25,-83.57,75.2,50,1,3.36,CA,1592577725
149,Warrington,53.39,-2.58,59.0,82,75,16.11,GB,1592577789
150,Kawalu,-7.38,108.21,73.29,93,100,0.81,ID,1592577789
151,Rovaniemi,66.5,25.72,60.8,44,0,10.29,FI,1592577789
152,Saint Paul Harbor,57.79,-152.41,42.8,87,20,3.36,US,1592577790
153,Vardø,70.37,31.11,48.2,57,75,20.8,NO,1592577790
154,Airai,-8.93,125.41,57.43,100,98,3.8,TL,1592577790
155,Atar,20.52,-13.05,108.19,10,0,10.22,MR,1592577791
156,Bafia,4.75,11.23,77.83,88,95,3.98,CM,1592577791
157,Saskylakh,71.92,114.08,70.9,46,48,5.99,RU,1592577791
158,Pokhara,28.23,83.98,73.74,83,100,1.19,NP,1592577792
159,Caravelas,-17.71,-39.25,80.04,67,17,10.89,BR,1592577792
160,Kamenka,51.32,42.77,84.99,41,1,7.0,RU,1592577792
161,Los Llanos de Aridane,28.66,-17.92,78.8,65,20,13.87,ES,1592577793
162,Ayan,56.45,138.17,42.39,91,66,3.15,RU,1592577793
163,Karaton,-6.34,106.1,78.8,83,40,5.82,ID,1592577794
164,Mount Isa,-20.73,139.5,73.4,40,90,3.36,AU,1592577794
165,Port Blair,11.67,92.75,83.32,81,100,10.56,IN,1592577794
166,Cabo San Lucas,22.89,-109.91,86.0,30,5,7.56,MX,1592577588
167,Luba,3.46,8.55,84.2,79,40,10.29,GQ,1592577795
168,Nyanguge,-2.55,33.2,78.8,54,20,8.05,TZ,1592577796
169,Departamento de Maldonado,-34.67,-54.92,61.0,87,35,10.29,UY,1592577796
170,Ballina,-28.87,153.57,59.0,93,75,8.05,AU,1592577797
171,Rafrāf,37.19,10.18,89.6,35,20,11.41,TN,1592577797
172,Kavieng,-2.57,150.8,82.18,76,3,4.29,PG,1592577798
173,Kenai,60.55,-151.26,48.2,81,90,10.29,US,1592577798
174,Tual,-5.67,132.75,80.85,79,50,22.46,ID,1592577798
175,Mahibadhoo,3.78,72.97,84.54,76,3,8.77,MV,1592577799
176,Tuatapere,-46.13,167.68,39.0,83,95,3.0,NZ,1592577799
177,Port Elizabeth,-33.92,25.57,78.8,24,0,6.93,ZA,1592577799
178,Finschhafen,-6.6,147.87,79.29,77,0,7.23,PG,1592577799
179,Bozoum,6.32,16.38,81.19,74,96,0.49,CF,1592577800
180,Laramie,41.31,-105.59,53.01,70,1,29.97,US,1592577643
181,Monroe,43.15,-77.68,80.01,57,20,6.93,US,1592577722
182,Alice Springs,-23.7,133.88,53.6,37,0,2.13,AU,1592577801
183,Hervey Bay,-25.3,152.85,62.01,89,71,4.0,AU,1592577801
184,Dingzhou,38.51,115.0,75.2,50,96,4.47,CN,1592577802
185,Willmar,45.12,-95.04,62.6,88,1,4.7,US,1592577802
186,Manzhouli,49.6,117.43,64.35,63,95,5.88,CN,1592577802
187,Abu Kamal,34.45,40.92,94.42,12,0,11.65,SY,1592577803
188,Villamontes,-21.25,-63.5,83.66,36,0,2.95,BO,1592577803
189,Agbor,6.25,6.19,78.76,89,100,2.24,NG,1592577803
190,Lucapa,-8.42,20.74,84.18,20,28,1.86,AO,1592577804
191,Rawson,-43.3,-65.1,54.52,45,11,27.6,AR,1592577804
192,Mier,26.43,-99.15,86.0,73,27,3.0,MX,1592577804
193,Kasongo-Lunda,-6.47,16.82,88.97,22,76,4.45,CD,1592577804
194,Dudinka,69.41,86.18,48.2,76,40,17.9,RU,1592577805
195,Iquique,-20.22,-70.14,64.4,59,90,4.7,CL,1592577805
196,Poum,-20.23,164.02,72.82,75,1,8.52,NC,1592577805
197,Kulhudhuffushi,6.62,73.07,84.36,79,36,12.39,MV,1592577806
198,La Ronge,55.1,-105.28,41.0,93,90,10.29,CA,1592577806
199,Kajaani,64.23,27.73,71.6,53,38,3.36,FI,1592577807
200,São José da Coroa Grande,-8.9,-35.15,77.88,85,88,16.11,BR,1592577807
201,Akhtubinsk,48.28,46.17,91.04,24,82,11.12,RU,1592577807
202,Jacareacanga,-6.22,-57.75,88.77,47,36,5.91,BR,1592577808
203,Geraldton,-28.77,114.6,51.8,76,0,8.05,AU,1592577655
204,Whithorn,18.26,-78.04,88.0,66,20,10.29,JM,1592577808
205,Maniitsoq,65.42,-52.9,41.68,82,12,11.16,GL,1592577808
206,Cockburn Town,21.46,-71.14,82.58,79,5,16.73,TC,1592577809
207,Necochea,-38.55,-58.74,55.99,70,100,11.01,AR,1592577810
208,Mafinga,-7.25,35.07,80.53,34,33,1.9,TZ,1592577810
209,Bengkulu,-3.8,102.27,78.26,86,68,5.73,ID,1592577810
210,Pulandian,39.4,121.97,75.2,57,44,4.47,CN,1592577810
211,Owando,-0.48,15.9,88.86,39,100,3.02,CG,1592577810
212,La Rioja,42.25,-2.5,80.6,34,44,3.36,ES,1592577811
213,Bukene,-4.23,32.88,80.29,37,79,3.58,TZ,1592577811
214,Locri,38.24,16.26,79.0,57,0,5.82,IT,1592577811
215,Hualmay,-11.1,-77.61,67.3,66,1,8.46,PE,1592577811
216,Lodja,-3.48,23.43,90.12,29,81,2.46,CD,1592577812
217,Saint George,37.1,-113.58,73.99,19,1,13.87,US,1592577812
218,Hambantota,6.12,81.12,87.8,66,40,10.29,LK,1592577813
219,Serebryansk,49.69,83.29,57.2,82,90,4.47,KZ,1592577813
220,Belaya Gora,68.53,146.42,71.82,38,22,4.9,RU,1592577813
221,Nago,26.59,127.98,82.4,94,40,12.75,JP,1592577814
222,Villazón,-22.09,-65.59,53.47,31,0,8.48,BO,1592577814
223,Kamaishi,39.27,141.88,64.04,86,100,2.33,JP,1592577814
224,Champerico,14.3,-91.92,82.4,74,20,3.71,GT,1592577815
225,Faanui,-16.48,-151.75,79.95,78,20,5.61,PF,1592577815
226,Hirara,24.8,125.28,83.95,86,94,16.55,JP,1592577815
227,Namatanai,-3.67,152.43,80.1,81,15,5.5,PG,1592577816
228,Margate,51.38,1.39,66.99,67,81,5.99,GB,1592577816
229,Ponta do Sol,32.67,-17.1,75.2,64,40,18.34,PT,1592577816
230,Santa Rosa,14.31,121.11,81.0,94,90,5.82,PH,1592577817
231,Amurzet,47.7,131.1,52.16,93,6,4.36,RU,1592577817
232,Phan Thiet,10.93,108.1,80.64,85,100,1.79,VN,1592577818
233,Ouésso,1.61,16.05,82.9,70,72,1.92,CG,1592577818
234,Fairbanks,64.84,-147.72,57.2,93,90,1.95,US,1592577602
235,Lagoa,39.05,-27.98,65.08,89,9,17.67,PT,1592577819
236,Kennett,36.24,-90.06,84.2,51,1,5.82,US,1592577819
237,Alta Floresta,-9.88,-56.09,84.34,45,5,7.09,BR,1592577819
238,Pão de Açúcar,-9.75,-37.44,81.99,72,37,13.85,BR,1592577820
239,Örnsköldsvik,63.29,18.72,66.2,55,1,10.29,SE,1592577664
240,Kaitangata,-46.28,169.85,39.61,84,100,8.99,NZ,1592577821
241,Shediac,46.22,-64.54,82.4,48,5,16.11,CA,1592577523
242,Lyuban',52.8,28.0,78.67,72,14,7.16,BY,1592577821
243,San Juan,-31.54,-68.54,62.08,29,0,12.46,AR,1592577638
244,Katsuura,35.13,140.3,68.0,93,94,15.73,JP,1592577822
